Column_Data_00
    step        time[-]          F_x           F_y           F_z
       1   3.125000e-03  -6.4963e-08    0.0000e+00   -5.2940e-24
       2   6.250000e-03  -3.0369e-07    0.0000e+00    2.1943e-17
       3   9.375000e-03  -7.5977e-07    0.0000e+00    5.6070e-16
       4   1.250000e-02  -1.4217e-06    0.0000e+00    4.5574e-15
       5   1.562500e-02  -2.2726e-06    0.0000e+00    2.1655e-14
       6   1.875000e-02  -3.3060e-06    0.0000e+00    7.4851e-14
       7   2.187500e-02  -4.5224e-06    0.0000e+00    2.0939e-13
       8   2.500000e-02  -5.8531e-06    0.0000e+00    4.9480e-13
       9   2.812500e-02  -7.4125e-06    0.0000e+00    1.0586e-12
      10   3.125000e-02  -9.1591e-06    0.0000e+00    2.0740e-12
      11   3.437500e-02  -1.1087e-05    0.0000e+00    3.7939e-12
      12   3.750000e-02  -1.3198e-05    0.0000e+00    6.5671e-12
      13   4.062500e-02  -1.5485e-05    0.0000e+00    1.0847e-11
      14   4.375000e-02  -1.7957e-05    0.0000e+00    1.7236e-11
      15   4.687500e-02  -2.0599e-05    0.0000e+00    2.6464e-11
      16   5.000000e-02  -2.3421e-05    0.0000e+00    3.9476e-11
      17   5.312500e-02  -2.6429e-05    0.0000e+00    5.7432e-11
      18   5.625000e-02  -2.9595e-05    0.0000e+00    8.1608e-11
      19   5.937500e-02  -3.2941e-05    0.0000e+00    1.1372e-10
      20   6.250000e-02  -3.6467e-05    0.0000e+00    1.5571e-10
      21   6.562500e-02  -4.0158e-05    0.0000e+00    2.0971e-10
      22   6.875000e-02  -4.4010e-05    0.0000e+00    2.7825e-10
      23   7.187500e-02  -4.8049e-05    0.0000e+00    3.6463e-10
      24   7.500000e-02  -5.2258e-05    0.0000e+00    4.7202e-10
      25   7.812500e-02  -5.6607e-05    0.0000e+00    6.0378e-10
      26   8.125000e-02  -6.1161e-05    0.0000e+00    7.6552e-10
      27   8.437500e-02  -6.5850e-05    0.0000e+00    9.6046e-10
      28   8.750000e-02  -7.0722e-05    0.0000e+00    1.1955e-09
      29   9.062500e-02  -7.5739e-05    0.0000e+00    1.4751e-09
      30   9.375000e-02  -8.0925e-05    0.0000e+00    1.8071e-09
      31   9.687500e-02  -8.6272e-05    0.0000e+00    2.1981e-09
      32   1.000000e-01  -9.1771e-05    0.0000e+00    2.6560e-09
      33   1.031250e-01  -9.7449e-05    0.0000e+00    3.1909e-09
      34   1.062500e-01  -1.0329e-04    0.0000e+00    3.8114e-09
      35   1.093750e-01  -1.0924e-04    0.0000e+00    4.5243e-09
      36   1.125000e-01  -1.1539e-04    0.0000e+00    5.3482e-09
      37   1.156250e-01  -1.2167e-04    0.0000e+00    6.2885e-09
      38   1.187500e-01  -1.2810e-04    0.0000e+00    7.3589e-09
      39   1.218750e-01  -1.3469e-04    0.0000e+00    8.5785e-09
      40   1.250000e-01  -1.4145e-04    0.0000e+00    9.9594e-09
      41   1.281250e-01  -1.4831e-04    0.0000e+00    1.1509e-08
      42   1.312500e-01  -1.5538e-04    0.0000e+00    1.3265e-08
      43   1.343750e-01  -1.6253e-04    0.0000e+00    1.5217e-08
      44   1.375000e-01  -1.6987e-04    0.0000e+00    1.7414e-08
      45   1.406250e-01  -1.7734e-04    0.0000e+00    1.9855e-08
      46   1.437500e-01  -1.8493e-04    0.0000e+00    2.2565e-08
      47   1.468750e-01  -1.9270e-04    0.0000e+00    2.5583e-08
      48   1.500000e-01  -2.0057e-04    0.0000e+00    2.8907e-08
      49   1.531250e-01  -2.0862e-04    0.0000e+00    3.2590e-08
      50   1.562500e-01  -2.1675e-04    0.0000e+00    3.6625e-08
      51   1.593750e-01  -2.2511e-04    0.0000e+00    4.1105e-08
      52   1.625000e-01  -2.3347e-04    0.0000e+00    4.5941e-08
      53   1.656250e-01  -2.4212e-04    0.0000e+00    5.1340e-08
